0,1,2,3,4,5,6,7,8,9,10
condensed milk,margarine,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
red/blush wine,whipped/sour cream,specialty cheese,abrasive cleaner,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
canned beer,other vegetables,margarine,,,,,,,,
brown bread,whole milk,,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
pickled vegetables,hard cheese,,,,,,,,,
cat food,shopping bags,,,,,,,,,
pork,beef,canned beer,newspapers,fruit/vegetable juice,,,,,,
chicken,rolls/buns,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,liquor,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
white wine,whole milk,misc. beverages,,,,,,,,
whole milk,beverages,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
hamburger meat,onions,,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
curd,soda,,,,,,,,,
waffles,bottled water,,,,,,,,,
dessert,mustard,white bread,,,,,,,,
soups,bottled water,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sugar,bottled water,,,,,,,,,
pastry,berries,,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
sausage,dessert,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
dog food,chewing gum,coffee,,,,,,,,
meat,bottled water,abrasive cleaner,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
newspapers,salty snack,,,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
pastry,curd,,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,curd,white bread,rolls/buns,coffee,,,,,,
oil,cream cheese ,white bread,,,,,,,,
whole milk,ice cream,,,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
soda,coffee,cling film/bags,,,,,,,,
rolls/buns,root vegetables,yogurt,,,,,,,,
root vegetables,soda,,,,,,,,,
UHT-milk,soda,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
beef,rolls/buns,,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
root vegetables,yogurt,tropical fruit,shopping bags,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
canned beer,berries,butter,baking powder,,,,,,,
sausage,bottled water,,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,pastry,dish cleaner,,,,,,,,
canned beer,fish,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
beef,waffles,salty snack,,,,,,,,
brown bread,bottled beer,,,,,,,,,
grapes,root vegetables,shopping bags,,,,,,,,
tropical fruit,other vegetables,butter,rolls/buns,coffee,pastry,,,,,
tropical fruit,root vegetables,,,,,,,,,
pip fruit,snack products,,,,,,,,,
sausage,pip fruit,,,,,,,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
finished products,yogurt,bottled beer,bottled water,,,,,,,
rolls/buns,house keeping products,,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
frankfurter,oil,soda,,,,,,,,
bottled beer,bottled water,,,,,,,,,
misc. beverages,newspapers,,,,,,,,,
chicken,cream cheese ,citrus fruit,chicken,pet care,napkins,condensed milk,specialty chocolate,,,
whole milk,bottled beer,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
whole milk,butter,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
sausage,salad dressing,,,,,,,,,
soda,rice,sweet spreads,,,,,,,,
soda,dessert,dishes,sugar,,,,,,,
pork,white bread,,,,,,,,,
sausage,bottled water,napkins,,,,,,,,
pork,napkins,,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
beef,specialty chocolate,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
salty snack,chocolate,,,,,,,,,
grapes,bottled water,napkins,,,,,,,,
whole milk,candy,,,,,,,,,
canned beer,long life bakery product,dish cleaner,candy,,,,,,,
pork,whole milk,other vegetables,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
rolls/buns,shopping bags,whole milk,,,,,,,,
soda,rolls/buns,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
frozen vegetables,sugar,,,,,,,,,
cream cheese ,soda,,,,,,,,,
sugar,candy,,,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
hamburger meat,candy,,,,,,,,,
whole milk,coffee,soft cheese,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
long life bakery product,butter,rolls/buns,newspapers,,,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
canned beer,hamburger meat,cake bar,,,,,,,,
citrus fruit,frozen potato products,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
rolls/buns,soda,,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
sausage,curd cheese,,,,,,,,,
beverages,newspapers,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
artif. sweetener,salty snack,,,,,,,,,
napkins,cake bar,,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
ham,pastry,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
sliced cheese,pasta,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,tropical fruit,,,,,,,,
tropical fruit,grapes,whole milk,pastry,white bread,,,,,,
pork,yogurt,yogurt,canned fish,,,,,,,
frankfurter,bottled beer,pastry,,,,,,,,
pip fruit,margarine,,,,,,,,,
butter,butter milk,,,,,,,,,
ice cream,rolls/buns,butter milk,,,,,,,,
pip fruit,cereals,,,,,,,,,
chicken,onions,,,,,,,,,
root vegetables,curd,,,,,,,,,
hamburger meat,soda,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
salty snack,sugar,,,,,,,,,
beef,frankfurter,root vegetables,specialty fat,domestic eggs,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
tropical fruit,meat,hard cheese,jam,,,,,,,
pork,brown bread,,,,,,,,,
zwieback,brown bread,,,,,,,,,
citrus fruit,shopping bags,domestic eggs,,,,,,,,
other vegetables,liquor,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
butter,domestic eggs,,,,,,,,,
finished products,whole milk,,,,,,,,,
beef,mayonnaise,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
rolls/buns,bottled water,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
sausage,berries,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
cream cheese ,toilet cleaner,,,,,,,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
berries,frozen meals,dish cleaner,,,,,,,,
canned beer,pasta,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
other vegetables,curd,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
yogurt,photo/film,,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
curd,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
sausage,canned fish,,,,,,,,,
pip fruit,herbs,other vegetables,,,,,,,,
meat,canned beer,,,,,,,,,
soda,curd,rolls/buns,,,,,,,,
beef,rum,brown bread,,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
beef,yogurt,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
pip fruit,candy,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
frozen meals,beef,,,,,,,,,
specialty bar,chocolate,packaged fruit/vegetables,domestic eggs,cream cheese ,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
citrus fruit,whole milk,bottled water,roll products ,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
tropical fruit,cookware,whole milk,oil,,,,,,,
sausage,grapes,,,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
whole milk,soda,,,,,,,,,
curd,curd,,,,,,,,,
citrus fruit,beef,,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
frankfurter,ice cream,,,,,,,,,
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages,,,
rolls/buns,white bread,,,,,,,,,
butter,yogurt,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
frozen vegetables,other vegetables,napkins,,,,,,,,
berries,canned fish,,,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
coffee,hamburger meat,brown bread,detergent,,,,,,,
pip fruit,butter,,,,,,,,,
butter,other vegetables,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
soda,brown bread,,,,,,,,,
soda,beverages,fruit/vegetable juice,,,,,,,,
yogurt,shopping bags,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pork,berries,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
long life bakery product,rolls/buns,UHT-milk,bottled water,,,,,,,
roll products ,margarine,,,,,,,,,
fruit/vegetable juice,candles,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
butter,chewing gum,,,,,,,,,
frozen chicken,dessert,,,,,,,,,
ham,whole milk,sliced cheese,baking powder,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
soda,rice,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
shopping bags,soap,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
tropical fruit,tropical fruit,tropical fruit,long life bakery product,soda,,,,,,
beef,soda,,,,,,,,,
yogurt,yogurt,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
tropical fruit,butter,,,,,,,,,
soda,butter,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
sausage,curd,brown bread,,,,,,,,
yogurt,yogurt,,,,,,,,,
ham,UHT-milk,,,,,,,,,
sausage,white wine,,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
citrus fruit,berries,,,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
beef,bottled water,,,,,,,,,
soda,specialty bar,,,,,,,,,
salt,margarine,,,,,,,,,
rolls/buns,curd,,,,,,,,,
misc. beverages,tea,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
beef,margarine,other vegetables,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
dessert,other vegetables,,,,,,,,,
canned beer,turkey,pastry,bottled water,butter,,,,,,
margarine,soda,canned fish,,,,,,,,
berries,hamburger meat,,,,,,,,,
chicken,vinegar,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
root vegetables,white wine,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
cereals,newspapers,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
white wine,beverages,,,,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
newspapers,soda,,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
hamburger meat,rolls/buns,brown bread,,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
sausage,sausage,dog food,yogurt,hygiene articles,chocolate,,,,,
white bread,spread cheese,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
sausage,frozen dessert,,,,,,,,,
baking powder,baking powder,mustard,,,,,,,,
pastry,cat food,,,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
dessert,rolls/buns,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
beef,herbs,,,,,,,,,
coffee,bottled water,,,,,,,,,
semi-finished bread,brown bread,soda,,,,,,,,
shopping bags,whole milk,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
hamburger meat,soda,,,,,,,,,
other vegetables,sausage,sliced cheese,rolls/buns,,,,,,,
pastry,newspapers,,,,,,,,,
beef,potato products,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
canned beer,honey,,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
canned beer,sausage,butter,other vegetables,salty snack,,,,,,
chicken,soda,canned fish,,,,,,,,
chocolate,margarine,,,,,,,,,
other vegetables,coffee,,,,,,,,,
canned beer,curd,,,,,,,,,
specialty chocolate,tropical fruit,,,,,,,,,
pork,long life bakery product,,,,,,,,,
beef,whole milk,,,,,,,,,
sweet spreads,newspapers,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
pet care,butter milk,,,,,,,,,
soda,pastry,,,,,,,,,
pip fruit,candy,,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
chicken,nuts/prunes,,,,,,,,,
whole milk,margarine,,,,,,,,,
dessert,butter milk,,,,,,,,,
soda,canned beer,white bread,berries,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
canned beer,baking powder,,,,,,,,,
frankfurter,other vegetables,cream cheese ,,,,,,,,
meat,root vegetables,,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
soda,root vegetables,,,,,,,,,
pork,soda,,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,chocolate,,,,,,,,,
sausage,yogurt,dishes,,,,,,,,
ham,canned vegetables,,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
pastry,chocolate,flour,,,,,,,,
whole milk,yogurt,frozen vegetables,,,,,,,,
beef,waffles,domestic eggs,,,,,,,,
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers,,,,
root vegetables,root vegetables,,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
chicken,pastry,,,,,,,,,
pork,napkins,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soda,soda,roll products ,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
sausage,other vegetables,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
bottled water,canned beer,,,,,,,,,
soda,bottled water,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
shopping bags,rice,,,,,,,,,
pot plants,herbs,,,,,,,,,
soda,pastry,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
meat,root vegetables,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
dessert,condensed milk,rolls/buns,shopping bags,,,,,,,
sausage,whole milk,,,,,,,,,
meat,other vegetables,,,,,,,,,
yogurt,UHT-milk,,,,,,,,,
bottled beer,oil,,,,,,,,,
brown bread,soda,,,,,,,,,
pork,bottled beer,,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
frankfurter,frozen dessert,other vegetables,cream cheese ,,,,,,,
beef,hamburger meat,newspapers,rum,meat spreads,whipped/sour cream,,,,,
ham,berries,,,,,,,,,
sausage,pastry,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pork,beef,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,butter,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
salty snack,cat food,frozen vegetables,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
soda,Instant food products,,,,,,,,,
yogurt,detergent,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
pork,beverages,misc. beverages,chewing gum,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
napkins,pastry,,,,,,,,,
herbs,cereals,,,,,,,,,
spread cheese,chocolate marshmallow,,,,,,,,,
other vegetables,soda,,,,,,,,,
zwieback,frozen dessert,shopping bags,cream cheese ,,,,,,,
canned beer,canned beer,,,,,,,,,
ham,ice cream,,,,,,,,,
soda,whole milk,whole milk,sugar,,,,,,,
ham,pork,pork,soda,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
bottled water,sausage,whole milk,margarine,,,,,,,
onions,root vegetables,domestic eggs,chocolate,,,,,,,
sausage,pastry,whole milk,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
dessert,shopping bags,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
chicken,house keeping products,,,,,,,,,
margarine,whole milk,berries,,,,,,,,
bottled water,domestic eggs,pickled vegetables,margarine,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
bottled beer,canned beer,,,,,,,,,
butter,domestic eggs,,,,,,,,,
beverages,other vegetables,,,,,,,,,
nuts/prunes,onions,,,,,,,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
root vegetables,processed cheese,,,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
margarine,newspapers,,,,,,,,,
shopping bags,pork,canned fish,whole milk,onions,bottled beer,canned beer,,,,
frankfurter,yogurt,,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
berries,sugar,,,,,,,,,
fruit/vegetable juice,onions,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
light bulbs,pastry,domestic eggs,,,,,,,,
detergent,rolls/buns,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
hamburger meat,soda,,,,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
butter,mustard,,,,,,,,,
canned beer,bottled water,,,,,,,,,
shopping bags,curd,,,,,,,,,
pastry,frankfurter,long life bakery product,whipped/sour cream,,,,,,,
citrus fruit,flower (seeds),domestic eggs,,,,,,,,
chocolate,beef,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
brown bread,onions,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
tropical fruit,hamburger meat,,,,,,,,,
pork,tropical fruit,,,,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
whole milk,bottled water,,,,,,,,,
spread cheese,yogurt,frozen vegetables,,,,,,,,
root vegetables,frankfurter,frankfurter,fruit/vegetable juice,bottled water,rolls/buns,detergent,bottled beer,male cosmetics,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
other vegetables,yogurt,,,,,,,,,
meat,detergent,canned beer,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frozen meals,napkins,,,,,,,,,
citrus fruit,candy,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
tropical fruit,rice,,,,,,,,,
curd,semi-finished bread,whole milk,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
soda,cream cheese ,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
meat,condensed milk,,,,,,,,,
ice cream,herbs,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
root vegetables,waffles,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
bottled beer,ice cream,,,,,,,,,
rolls/buns,whipped/sour cream,bottled beer,,,,,,,,
whole milk,root vegetables,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
specialty bar,pastry,,,,,,,,,
butter,hygiene articles,,,,,,,,,
newspapers,candy,,,,,,,,,
whole milk,sliced cheese,dish cleaner,,,,,,,,
other vegetables,soda,,,,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
prosecco,chewing gum,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
fruit/vegetable juice,spices,,,,,,,,,
root vegetables,sugar,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
yogurt,long life bakery product,,,,,,,,,
finished products,bottled beer,,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
newspapers,white bread,,,,,,,,,
dishes,other vegetables,,,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,kitchen towels,,,,,,,,,
sausage,sugar,,,,,,,,,
soda,margarine,,,,,,,,,
pet care,whole milk,,,,,,,,,
oil,waffles,,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
soda,beverages,,,,,,,,,
beef,fruit/vegetable juice,yogurt,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
pastry,bottled beer,,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers,,,
domestic eggs,domestic eggs,,,,,,,,,
turkey,curd,sugar,,,,,,,,
beef,sliced cheese,,,,,,,,,
ham,soda,,,,,,,,,
rolls/buns,onions,,,,,,,,,
pork,frozen dessert,newspapers,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled water,ice cream,,,,,,,,,
beef,tea,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
pip fruit,soda,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
brown bread,whole milk,canned fish,brown bread,,,,,,,
sugar,fruit/vegetable juice,margarine,,,,,,,,
rolls/buns,bottled beer,dishes,pip fruit,whole milk,hard cheese,brown bread,soda,,,
yogurt,bottled water,long life bakery product,,,,,,,,
beef,candy,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
sausage,other vegetables,fruit/vegetable juice,,,,,,,,
whole milk,rolls/buns,canned fish,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
coffee,bottled beer,,,,,,,,,
curd,sugar,,,,,,,,,
pip fruit,napkins,,,,,,,,,
pip fruit,waffles,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
pork,brown bread,bottled beer,shopping bags,,,,,,,
mayonnaise,chocolate,,,,,,,,,
sausage,whole milk,,,,,,,,,
beef,waffles,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
butter,yogurt,,,,,,,,,
canned beer,flower (seeds),,,,,,,,,
other vegetables,rolls/buns,waffles,,,,,,,,
beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
bottled water,other vegetables,,,,,,,,,
other vegetables,brown bread,bottled water,specialty bar,,,,,,,
other vegetables,waffles,,,,,,,,,
pork,whole milk,,,,,,,,,
citrus fruit,spread cheese,,,,,,,,,
dish cleaner,coffee,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
citrus fruit,pastry,,,,,,,,,
packaged fruit/vegetables,herbs,,,,,,,,,
root vegetables,bottled water,frozen dessert,,,,,,,,
hamburger meat,pastry,flour,,,,,,,,
pork,pork,,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
pip fruit,brown bread,,,,,,,,,
whipped/sour cream,beef,,,,,,,,,
soda,pork,bottled water,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
beef,pork,,,,,,,,,
bottled beer,salty snack,napkins,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
coffee,soda,,,,,,,,,
turkey,other vegetables,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
pip fruit,brown bread,,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
other vegetables,other vegetables,,,,,,,,,
detergent,liquor (appetizer),,,,,,,,,
rolls/buns,red/blush wine,canned beer,,,,,,,,
whole milk,newspapers,bottled water,,,,,,,,
margarine,brandy,root vegetables,shopping bags,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
zwieback,yogurt,,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
root vegetables,dishes,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
butter milk,berries,,,,,,,,,
tidbits,other vegetables,,,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
soft cheese,cat food,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
other vegetables,cereals,,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
brown bread,soda,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
bottled beer,sliced cheese,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
yogurt,curd,,,,,,,,,
preservation products,soups,,,,,,,,,
bottled beer,frankfurter,pastry,sliced cheese,frozen vegetables,,,,,,
mustard,whole milk,,,,,,,,,
whole milk,white bread,,,,,,,,,
chicken,citrus fruit,whole milk,berries,instant coffee,,,,,,
meat,pasta,,,,,,,,,
yogurt,canned beer,,,,,,,,,
citrus fruit,beef,,,,,,,,,
root vegetables,soda,,,,,,,,,
